data_anomaly,display,window_hours,metric,primary_model,primary_diff,primary_ci_low,primary_ci_high,primary_p_value,event_weighted_diff,event_weighted_p_value,event_weighted_effect_size,asset_weighted_diff,asset_weighted_p_value,asset_weighted_effect_size,event_mean,control_mean,event_count,control_count,asset_count,primary_p_fdr_bh,primary_p_bonferroni,primary_significant_fdr
social_dev_score,Social Dev Score,1,forward_return,asset_weighted,-0.18435346148502305,-0.35902090514908386,-0.0107692845564449,0.07203323759074849,-0.16489111613610832,0.09556816236622223,-0.2063670900626138,-0.18435346148502305,0.07203323759074849,-0.6063923998568215,-0.1655711323959545,-0.0006800162598461864,66,660,11,0.1383038161742371,1.0,False
social_dev_score,Social Dev Score,1,abs_return,asset_weighted,0.020487730389255845,-0.14626116459431626,0.24218136071026863,0.8513015404464465,0.0031418407583589936,0.9657106124464995,0.005132762165593009,0.020487730389255845,0.8513015404464465,0.058002248230000206,0.5262832717327748,0.5231414309744158,66,660,11,0.9080549764762096,1.0,False
social_dev_score,Social Dev Score,1,realized_volatility,asset_weighted,0.021765496509304393,-0.15343118012151896,0.2430741156221244,0.8437088618519539,0.004320148754729192,0.9531008758357818,0.007053315455683075,0.021765496509304393,0.8437088618519539,0.06100753112462758,0.5272509992246699,0.5229308504699407,66,660,11,0.9080549764762096,1.0,False
social_dev_score,Social Dev Score,4,forward_return,asset_weighted,-0.7195932382144531,-1.669970136579012,0.12017102346430458,0.16853798399542128,-0.4309819028658267,0.16285581124629164,-0.20720418295332255,-0.7195932382144531,0.16853798399542128,-0.44754907167622365,-0.42447670179036334,0.006505201075463354,66,660,11,0.3111470473761624,1.0,False
social_dev_score,Social Dev Score,4,abs_return,asset_weighted,0.5056744930653283,-0.3362511549437498,1.5669914248641603,0.33976954419329686,0.24986404038399823,0.3409021866830406,0.14489237740495678,0.5056744930653283,0.33976954419329686,0.30224755241212303,1.3141574287599886,1.0642933883759904,66,660,11,0.5063643837204914,1.0,False
social_dev_score,Social Dev Score,4,realized_volatility,asset_weighted,0.1859812917062547,-0.3459903218006533,0.8394851442250031,0.5718569630976269,-0.0005377375892576808,0.9976637891597004,-0.0004148943858689144,0.1859812917062547,0.5718569630976269,0.17622271377207774,1.287013117441206,1.2875508550304637,66,660,11,0.7370352906650649,1.0,False
social_dev_score,Social Dev Score,24,forward_return,asset_weighted,0.49209425894627207,-1.265835089939515,3.218110750090466,0.7071448022496389,0.09227475037828237,0.9169265127480327,0.01604451169982484,0.49209425894627207,0.7071448022496389,0.11656697318095695,0.40645541794115225,0.3141806675628699,66,660,11,0.8081654882853017,1.0,False
social_dev_score,Social Dev Score,24,abs_return,asset_weighted,0.6323228136012679,-1.2185057579424565,2.7790065056201447,0.5834862717765097,0.8041189329938501,0.2891721278620268,0.16907502478021427,0.6323228136012679,0.5834862717765097,0.17083261393046087,3.614799164807543,2.8106802318136928,66,660,11,0.7370352906650649,1.0,False
social_dev_score,Social Dev Score,24,realized_volatility,asset_weighted,0.5742005589646123,-0.6212158424124563,2.082566425061675,0.45240904022833894,0.35276952124742866,0.40755536586369645,0.12294293387545366,0.5742005589646123,0.45240904022833894,0.23574099908595922,3.8546013926329175,3.501831871385489,66,660,11,0.6173984692040996,1.0,False
social_dev_score,Social Dev Score,72,forward_return,asset_weighted,0.6521338043942092,-4.546056810713716,6.913988085436823,0.8354204555893235,0.5556289711818772,0.7570273223893034,0.048833573600708516,0.6521338043942092,0.8354204555893235,0.06429580211129177,1.1666292438223465,0.6110002726404693,66,660,11,0.9080549764762096,1.0,False
social_dev_score,Social Dev Score,72,abs_return,asset_weighted,1.6741991378809944,-1.4375587572871396,6.14262902610782,0.4481676378083783,1.3362450461309905,0.40482601139195074,0.13631748516703363,1.6741991378809944,0.4481676378083783,0.23802543569424534,6.452804217206347,5.116559171075356,66,660,11,0.6173984692040996,1.0,False
social_dev_score,Social Dev Score,72,realized_volatility,asset_weighted,0.7219722079257207,-0.7853710541684198,2.6779293388383056,0.46304885190307465,0.3377404017055303,0.5812784664162056,0.08438529290079111,0.7219722079257207,0.46304885190307465,0.23007108160726358,6.795752901956498,6.458012500250968,66,660,11,0.6173984692040996,1.0,False
eth_whale_dump,ETH Whale Dump,1,forward_return,event_weighted,-0.046907260605983006,-0.2306155199073479,0.15508238373436187,0.6314013504414914,-0.046907260605983006,0.6314013504414914,-0.060888472327655846,-0.046907260605983006,,,-0.05644655265391691,-0.009539292047933905,87,870,1,0.7771093543895279,1.0,False
