data_anomaly,display,window_hours,metric,primary_model,primary_diff,primary_ci_low,primary_ci_high,primary_p_value,event_weighted_diff,event_weighted_p_value,event_weighted_effect_size,asset_weighted_diff,asset_weighted_p_value,asset_weighted_effect_size,event_mean,control_mean,event_count,control_count,asset_count,primary_p_fdr_bh,primary_p_bonferroni,primary_significant_fdr
price_network_activity_divergence,Price/Network Activity Divergence,1,forward_return,asset_weighted,0.1666281051097583,-0.10218207499081249,0.44644751443775293,0.26000173377480895,0.24837755248970822,0.06692402156129583,0.14834051314338823,0.1666281051097583,0.26000173377480895,0.2596185313773494,0.27210090037023377,0.02372334788052556,239,2390,20,0.4295981130157836,1.0,False
price_network_activity_divergence,Price/Network Activity Divergence,1,abs_return,asset_weighted,0.5090860630808479,0.29042508466113165,0.7845590801747576,0.0010321146488797377,0.5685123416381096,1.3059671104517092e-07,0.43860116594361603,0.5090860630808479,0.0010321146488797377,0.8652609495091536,1.3216934453947082,0.7531811037565986,239,2390,20,0.009908300629245482,0.049541503146227406,True
price_network_activity_divergence,Price/Network Activity Divergence,1,realized_volatility,asset_weighted,0.5032802944015698,0.2814405336098276,0.7578621458440972,0.0009022528419516396,0.5619285689999169,9.435891172313983e-08,0.4421568172394137,0.5032802944015698,0.0009022528419516396,0.8784260243867951,1.3144545256226567,0.7525259566227398,239,2390,20,0.009908300629245482,0.0433081364136787,True
price_network_activity_divergence,Price/Network Activity Divergence,4,forward_return,asset_weighted,0.5619338744754147,0.04960912321100911,1.1190253815157283,0.06237404773010967,0.8288254824737947,0.0002655715103946448,0.2878991614902043,0.5619338744754147,0.06237404773010967,0.4427410283611904,0.8315673051213053,0.002741822647510575,239,2390,20,0.12474809546021934,1.0,False
price_network_activity_divergence,Price/Network Activity Divergence,4,abs_return,asset_weighted,0.7715228871406035,0.3391251876727505,1.2325178764722882,0.004595682076965591,0.8786030089605117,5.749969801003623e-07,0.39943937475189284,0.7715228871406035,0.004595682076965591,0.7180805338219689,2.3345714418355157,1.455968432875004,239,2390,20,0.02025924171134692,0.2205927396943484,True
price_network_activity_divergence,Price/Network Activity Divergence,4,realized_volatility,asset_weighted,1.0220714755678166,0.6511181385983015,1.4221779465945037,9.651745979061162e-05,1.1082618649354883,1.699258534603215e-11,0.564123911603152,1.0220714755678166,9.651745979061162e-05,1.0986424260094283,2.8978281053666883,1.7895662404312,239,2390,20,0.0015442793566497858,0.004632838069949357,True
price_network_activity_divergence,Price/Network Activity Divergence,24,forward_return,asset_weighted,2.2097230586124743,0.9612095096592495,3.632400346737084,0.0062523230653230835,2.4475489646437887,3.582069179172346e-05,0.3341669705845358,2.2097230586124743,0.0062523230653230835,0.6872744992670298,2.474560564157707,0.027011599513918478,239,2390,20,0.023085500548885234,0.300111507135508,True
price_network_activity_divergence,Price/Network Activity Divergence,24,abs_return,asset_weighted,2.0709704573988414,0.9995779658350578,3.3489489795974516,0.003606772279694146,2.064632495585591,1.4734077444169226e-05,0.3589218259406443,2.0709704573988414,0.003606772279694146,0.7421716823469082,5.774991681637239,3.7103591860516483,239,2390,20,0.02025924171134692,0.17312506942531902,True
price_network_activity_divergence,Price/Network Activity Divergence,24,realized_volatility,asset_weighted,2.3150555108299473,1.5174696426044758,3.2091584288068344,6.0032892396218984e-05,2.4109587567152664,1.542897354185589e-13,0.6269494699393046,2.3150555108299473,6.0032892396218984e-05,1.1462324342388028,7.219771341325778,4.808812584610512,239,2390,20,0.0015442793566497858,0.002881578835018511,True
price_network_activity_divergence,Price/Network Activity Divergence,72,forward_return,asset_weighted,4.823259557525918,2.3161238395926906,7.737760993626692,0.004318974423874187,5.158578497441952,1.0122116684722298e-05,0.3747935670837627,4.823259557525918,0.004318974423874187,0.7242666951994944,5.228901240616261,0.07032274317430895,239,2390,20,0.02025924171134692,0.207310772345961,True
price_network_activity_divergence,Price/Network Activity Divergence,72,abs_return,asset_weighted,4.321092181518709,1.9384529954139091,7.111000456922118,0.00506481042783673,4.672672175085621,2.224943732811393e-06,0.41358451445828937,4.321092181518709,0.00506481042783673,0.7083797213433584,10.692274317662694,6.019602142577073,239,2390,20,0.02025924171134692,0.24311090053616302,True
price_network_activity_divergence,Price/Network Activity Divergence,72,realized_volatility,asset_weighted,3.9202559527732648,2.5437892447556365,5.552405351349225,7.344240715064476e-05,4.137029132588008,2.542704551946279e-16,0.7134413931041532,3.9202559527732648,7.344240715064476e-05,1.1259760801707857,12.464278888450114,8.327249755862105,239,2390,20,0.0015442793566497858,0.0035252355432309488,True
