asset_id,asset,dt,value,metadata,data_anomaly,display,symbol
1681,ethereum,2024-08-05 15:41:11,47720128.0,"{""exchange_name"": ""binance"", ""exchange_address"": ""0x505f76bf9bdc6dfe1d21e8a7806849045ee89e31"", ""interacting_address"": ""0x62296d196da9f6d4bce22b3e4c9222a501ad6639"", ""tx_hash"": ""0xc6f67516eb779be67e3b21126de3a949416cd744173b94512ea230f8920d5172""}",eth_whale_dump,ETH Whale Dump,ETH/USDT
1681,ethereum,2024-08-05 23:48:35,24319243.0,"{""exchange_name"": ""gemini"", ""exchange_address"": ""0xf51710015536957a01f32558402902a2d9c35d82"", ""interacting_address"": ""0xd69b0089d9ca950640f5dc9931a41a5965f00303"", ""tx_hash"": ""0xd382cd5ace36b6206537ca2f21e34551f35cf0336a59c60e9cfc4cf541c43a04""}",eth_whale_dump,ETH Whale Dump,ETH/USDT
1681,ethereum,2024-08-26 07:58:23,5469534.0,"{""exchange_name"": ""binance"", ""exchange_address"": ""0xcdabc04b150e353879b4a77203e56a0228c130b6"", ""interacting_address"": ""0xb99a2c4c1c4f1fc27150681b740396f6ce1cbcf5"", ""tx_hash"": ""0xa07cdfed06caf6abf756b635572b04061adf9919511cbcff8a519cbbed817067""}",eth_whale_dump,ETH Whale Dump,ETH/USDT
1681,ethereum,2024-09-18 07:44:11,6996793.0,"{""exchange_name"": ""kraken"", ""exchange_address"": ""0xd9d4e433ff0941564bf0b8cf43df16d9a5e108cd"", ""interacting_address"": ""0xddf744374b46aa980ddce4a5aa216478bf925cd1"", ""tx_hash"": ""0x9bf6dde352151b562c1cdc679195aaf596f69e5963fd38aa33e32f3a9affd209""}",eth_whale_dump,ETH Whale Dump,ETH/USDT
1681,ethereum,2024-09-19 07:47:11,24383276.0,"{""exchange_name"": ""kraken"", ""exchange_address"": ""0xa316dc6ac7dffe13b09a902c0801dbf136653719"", ""interacting_address"": ""0xfb1f0e24e3df3e7165c17c668316d70e77563884"", ""tx_hash"": ""0x74f7d123e543196ca4dd17353913d690756e62c97059bc84e1b73009d0a39090""}",eth_whale_dump,ETH Whale Dump,ETH/USDT
1681,ethereum,2024-10-09 15:51:23,7536765.0,"{""exchange_name"": ""binance"", ""exchange_address"": ""0x6b346ec44330a75cabef0c0cd89b92729d2e335f"", ""interacting_address"": ""0x634a3a9332d393e055eb42be21518e431b4761ff"", ""tx_hash"": ""0x87e4ca3ba2b45c8c7b16643b15463d6ebb3c41455529995449e4e5864b59215c""}",eth_whale_dump,ETH Whale Dump,ETH/USDT
1681,ethereum,2024-12-04 15:55:11,11470110.0,"{""exchange_name"": ""kraken"", ""exchange_address"": ""0x89b1129a396ac95df02f209d0e3adc219f44fe1f"", ""interacting_address"": ""0xc336b139b45b3ad0aa48688cb833ba51e03ce216"", ""tx_hash"": ""0x271d33c09416a28378dabde93e0b3f9b1fbf6b456a4a46c1410d112f3d99c97b""}",eth_whale_dump,ETH Whale Dump,ETH/USDT
1681,ethereum,2024-12-04 15:57:59,20900978.0,"{""exchange_name"": ""kraken"", ""exchange_address"": ""0x89b1129a396ac95df02f209d0e3adc219f44fe1f"", ""interacting_address"": ""0x17f3e1c45dead51a374f3e7f337a52ed5defccb1"", ""tx_hash"": ""0xcb14096d029cd6097639725fc41f34dfabe88298a9e738491332512afe5513d9""}",eth_whale_dump,ETH Whale Dump,ETH/USDT
1681,ethereum,2024-12-06 15:44:23,8036198.0,"{""exchange_name"": ""binance"", ""exchange_address"": ""0x92a9d306dbb0a11096170f2fffe021111ef8ac96"", ""interacting_address"": ""0xd39988dd92ffd85b9ee2b6d05148140b0b9cdee6"", ""tx_hash"": ""0x98f060f763a64213aedd2dad1dbf6ae42c20ca32700186d3e6c607b688cbb27b""}",eth_whale_dump,ETH Whale Dump,ETH/USDT
1681,ethereum,2024-12-08 07:54:59,6378826.0,"{""exchange_name"": ""bybit"", ""exchange_address"": ""0x19585feeb01991f3133357a58fffeedb7aadd855"", ""interacting_address"": ""0x651fac183d2ac9753bec39f7530adf1b873f0314"", ""tx_hash"": ""0x29944095689bdae49ab97b8877bf3e91aa143748973e8bf7424f6486e69a0bd5""}",eth_whale_dump,ETH Whale Dump,ETH/USDT
